"id","DIC"
1455,2172.91600166091
1456,2195.28759953608
1457,2326.20389514064
1458,1992.62293321618
1459,2147.87866767748
1460,2036.41567883999
1461,2159.86810063988
1462,2198.71050864386
1463,2271.66361678015
1464,2314.39148515818
1465,2151.97981788807
1466,2317.489188067
1467,2260.15557982754
1468,2216.61563574678
1469,2287.46814732155
1470,2323.32333124665
1471,2221.47600313761
1472,2266.01417350404
1473,2315.16307366366
1474,2085.37819379815
1475,2032.31861046464
1476,2012.64643467121
1477,2024.89685661555
1478,2195.56508375711
1479,2313.32355774192
1480,2030.27576191717
1481,2236.76221111402
1482,2136.26857525855
1483,2227.42765924377
1484,2168.58071368135
1485,2226.78506544888
1486,2193.36052231989
1487,2308.45851777047
1488,2010.06056717919
1489,2309.39807769094
1490,2006.17697309992
1491,2129.76467335678
1492,2222.99962608016
1493,1994.48199161541
1494,2018.09207828872
1495,2335.44059513744
1496,1976.83696205331
1497,1993.41999732412
1498,2257.43457765659
1499,2119.86236517481
1500,2003.63082849781
1501,2203.20195465608
1502,2284.78624679759
1503,2005.59517948307
1504,2309.18461420152
1505,2216.43133711602
1506,2262.18311011819
1507,2125.8075490156
1508,2254.04409692084
1509,2081.81493278919
1510,2007.20435626983
1511,2278.31510437765
1512,2317.508275269
1513,2006.18533475417
1514,2248.58236969518
1515,2022.6090966277
1516,2191.2048488999
1517,2024.58210827563
1518,2128.45448532298
1519,2013.12054280547
1520,2168.4548471781
1521,2250.41762751682
1522,2311.09101576708
1523,2013.07415596143
1524,2266.12002692582
1525,2312.98246495531
1526,2012.26435339411
1527,2130.29273429794
1528,2061.15101297464
1529,2319.24589673544
1530,2020.1791389267
1531,2019.42217146215
1532,2187.14646552883
1533,2211.23402441166
1534,2265.22077072897
1535,2273.30623768444
1536,2308.10431423078
1537,2004.22967293796
1538,2310.50157031644
1539,1999.18736622762
1540,2198.07259911268
1541,2268.19295229195
1542,2304.33558033878
1543,2005.94523672445
1544,2169.0428057981
1545,2075.76471954293
1546,2177.35517269283
1547,2222.93546534989
1548,2286.15710856696
1549,2341.2846762181
1550,2111.13212854279
1551,2307.18085273612
1552,2004.5240164943
1553,2205.8324886014
1554,2236.91796579668
1555,2263.47586828343
1556,2236.00629447062
1557,2315.73028554084
1558,2049.4719628985
1559,2234.76965670624
1560,2269.16773907406
1561,2004.37134293606
1562,2003.19760357533
1563,2152.95277264279
1564,2225.51995612719
1565,2311.23496428921
1566,2229.9927543725
1567,2196.01748676597
1568,2320.98305722995
1569,2230.58730165205
1570,2279.7262776039
1571,2188.53866679454
1572,2127.10164190558
1573,2281.46437870497
1574,2322.75847669947
1575,2134.34068744967
1576,2192.36630402022
1577,2249.7391915857
1578,2309.35902406793
1579,2022.64107512092
1580,2002.14720667307
1581,2226.37517143903
1582,2095.08342241647
1583,2282.3807894761
1584,2097.4286784511
1585,2263.44600652834
1586,2081.21554440401
1587,2161.3341521138
1588,2210.03772702407
1589,2240.0920284616
1590,2274.15186609773
1591,2000.01415122713
1592,2147.35382426733
1593,2271.86760010038
1594,2048.28355636931
1595,2235.12204383659
1596,2170.9642976094
1597,2073.90657859978
1598,2217.28223593239
1599,2239.67354224128
1600,2061.61805759516
1601,2158.45846074928
1602,2095.73832545009
1603,2353.20036207003
1604,2027.50375306934
1605,2157.88249414837
1606,2290.30265281034
1607,1998.15125281242
1608,2222.43476818654
1609,2029.31422078645
1610,2267.63733274314
1611,2315.09811685927
1612,2077.94013288578
1613,2214.99004550012
1614,2309.71040281186
1615,2218.4008784552
1616,2014.09212359519
1617,2233.47661984564
